Date,Asset name,Series,Value
2023-01-09,GDLC,adjclose,0.25957756703809476
2023-01-09,XRP-USD,volume,0.29043114799198044
2023-01-09,ETH-USD,volume,0.40225884083369
2023-01-09,LTC-USD,adjclose,0.36388517660774067
2023-01-09,BTC-USD,volume,0.23258494483758052
2023-01-09,XRP-USD,open,0.03553008595988549
2023-01-09,GDLC,volume,0.6069295101553166
2023-01-09,ETH-USD,open,0.09827618485022693
2023-01-09,LTC-USD,open,0.24084072738612328
2023-01-09,ETH-USD,adjclose,0.1311955556169495
2023-01-09,XRP-USD,adjclose,0.0549824401805441
2023-01-09,GDLC,open,0.15587531977819868
2023-01-09,LTC-USD,volume,0.6147242404038177
2023-01-09,BTC-USD,open,0.03916549885890097
2023-01-09,BTC-USD,adjclose,0.041230092507197336
2023-01-10,BTC-USD,adjclose,0.05924792264279555
2023-01-10,LTC-USD,open,0.3634137447385921
2023-01-10,XRP-USD,open,0.054875770501164434
2023-01-10,BTC-USD,volume,0.17254337069402864
2023-01-10,BTC-USD,open,0.04626283771403661
2023-01-10,LTC-USD,volume,0.2702723386965672
2023-01-10,GDLC,adjclose,0.33202355355257407
2023-01-10,LTC-USD,adjclose,0.3379003614516729
2023-01-10,ETH-USD,adjclose,0.14756818631003354
2023-01-10,ETH-USD,open,0.13504122126423868
2023-01-10,GDLC,open,0.24076742651104788
2023-01-10,GDLC,volume,0.16726403823178015
2023-01-10,XRP-USD,adjclose,0.06423134157716648
2023-01-10,ETH-USD,volume,0.2468264380538712
2023-01-10,XRP-USD,volume,0.13490134000886855
2023-01-11,LTC-USD,open,0.33791449769454074
2023-01-11,ETH-USD,open,0.1513864084324179
2023-01-11,GDLC,adjclose,0.34921416433444474
2023-01-11,GDLC,volume,0.2791716447630426
2023-01-11,GDLC,open,0.3069544811485806
2023-01-11,ETH-USD,volume,0.2817031282434329
2023-01-11,BTC-USD,adjclose,0.09449912683993844
2023-01-11,LTC-USD,volume,0.36819265934956247
2023-01-11,LTC-USD,adjclose,0.4340910998405336
2023-01-11,BTC-USD,volume,0.22720300627369316
2023-01-11,XRP-USD,volume,0.3105686527122186
2023-01-11,XRP-USD,open,0.06425671729183602
2023-01-11,BTC-USD,open,0.0644377741033002
2023-01-11,XRP-USD,adjclose,0.17572898153917138
2023-01-11,ETH-USD,adjclose,0.2034380319584146
2023-01-12,LTC-USD,adjclose,0.49132917188922365
2023-01-12,LTC-USD,volume,0.6576955041861097
2023-01-12,XRP-USD,adjclose,0.18078399979352477
2023-01-12,LTC-USD,open,0.4406620199977902
2023-01-12,BTC-USD,volume,0.5810711089152425
2023-01-12,BTC-USD,adjclose,0.1619341668455072
2023-01-12,XRP-USD,open,0.1740327520062379
2023-01-12,GDLC,volume,0.4456391875746714
2023-01-12,BTC-USD,open,0.11257965700351269
2023-01-12,ETH-USD,open,0.22597272822946612
2023-01-12,ETH-USD,adjclose,0.23608699625331253
2023-01-12,XRP-USD,volume,0.2406390860963395
2023-01-12,ETH-USD,volume,0.7073116980029266
2023-01-12,GDLC,adjclose,0.5260313900990835
2023-01-12,GDLC,open,0.3333332952168545
2023-01-13,GDLC,adjclose,0.5481335872327092
2023-01-13,ETH-USD,adjclose,0.27272996542336725
2023-01-13,ETH-USD,open,0.239613902002916
2023-01-13,GDLC,volume,0.27638391079251295
2023-01-13,GDLC,open,0.5035970902185035
2023-01-13,LTC-USD,volume,0.4488155109594242
2023-01-13,BTC-USD,volume,0.4585680219922719
2023-01-13,LTC-USD,open,0.4915325035018392
2023-01-13,XRP-USD,volume,0.17996061555644122
2023-01-13,BTC-USD,open,0.16646485678409007
2023-01-13,XRP-USD,adjclose,0.2323900479518426
2023-01-13,ETH-USD,volume,0.38022104769790277
2023-01-13,XRP-USD,open,0.1806417062696657
2023-01-13,BTC-USD,adjclose,0.23696590370903858
2023-01-13,LTC-USD,adjclose,0.5026869075914076
2023-01-14,BTC-USD,volume,0.6662696183688872
2023-01-14,BTC-USD,open,0.24117210171218084
2023-01-14,LTC-USD,open,0.5025919260149565
2023-01-14,ETH-USD,open,0.2758781168474367
2023-01-14,ETH-USD,volume,0.9385920774810309
2023-01-14,ETH-USD,adjclose,0.3805510956350986
2023-01-14,LTC-USD,adjclose,0.5472289781127593
